? 53   Sønderjysk Pige og Drengekor
? 51   Historie og Samfund for Als og Sundeved
? 52   Historie og Samfund for Als og Sundeved
? 50   Gospelfællesskabet
? 49   Midtals Friskole
? 48   Akvarieforeningen
? 45   Vidar-Ulkebøl Håndbold
? 46   Vidar-Ulkebøl Håndbold
? 47   Vidar-Ulkebøl Håndbold
? 44   Sosu-elever bruger velfærdsteknologi i Sønderborg Kommune
? 43   Kompetencecenter for demens
? 42   Netværkshuset
? 39   Sønderborg international School
? 40   Sønderborg international School
? 41   Sønderborg international School
? 38   Kultur og Fritid Sønderborg Kommune
? 37   Tilflytterservice Sønderborg kommune
? 35   Efterskolen EPOS
? 36   Efterskolen EPOS
? 34   Disponibel
